label;text
construct;Die Idee is wohl, dass Anschläge von den Tätern im Heimatland weniger schlimm zählen als im Zufluchtsland?
sarc;O, schaut mal, wie viele PKK-Fans hier in Deutschland unterwegs sind. Irgendwie tun mir die Deutschen echt leid. Falsche Politik, ey!
leave_fact;Ehrlich sein zum Türken, aber dann Doppelmoral und scheinheilige Lügen von der Presse @randomuser123
other;Ihr seid voll durchgedreht und total verrückt im Kopf, genauso wie die Leute damals in Nazi-Deutschland mit eurem krassen Verfolgungswahn. @randomuser123
construct;Es hat einen Angriff auf ne Moschee gegeben.
construct;Schon seltsam, warum die Grünen nie in Afrika wohnen wollen, wenn die Kultur da angeblich so super sein soll. https://www.facebook.com/fakeaccount123/videos/1656512477997645/ …
construct;wem erzähl ich was?
construct;@Kernpunkt Voll viele haben Stress mit speziellen Gruppen, die ihre eigenen Regeln machen. Vietnamesen und Inder nerven da nicht so. https://www.wzb.eu/de/pressemitteilung/islamischer-religioeser-fundamentalismus-ist-weit-verbreitet …
leave_fact;@KonzernKing Wenn man was von BWL verstehen würd, hätt man nich son Pleite-Verlag am Start. Der Spiegel, die Nische für Verlierer.
leave_fact;"@NewsTalker Mit ""Wir"" meint der Typ die ganze Medien-Bande und die Politiker-Truppe, zwischen denen er hin und her springt."
opin;mega nice. Plötzlich wirkt Amerika irgendwie viel chilliger.
opin;.@newsupdate Auch da gilt: Folien ohne Quellenangabe sind total unwissenschaftlich und eigentlich Müll. Studien muss man einfach nachprüfen können
sarc;der hat grad mit @randomuser telefoniert. DANKE FÜR NICHTS!!! :/
sarc;Yo @randomuser Paris Nizza Würzburg Brüssel Ansbach Reutlingen. Voll übel, die Gewalt gegen Flüchtlinge, echt schrecklich.
sarc;Will da etwa jemand Satire-Minister werden wollen?
construct;Der Typ, der die Texte zu den nackten Mädels verfasst. Klar, is sexistisch, aber wenigstens glaubt da keiner wirklich dran.
sarc;"Sind ""bio-deutsch"" die, die schon ewig hier sind? Das Gesindel? ;-P"
sarc;omg ich auch voll, lass uns schnappen!
construct;5 Mille!! Nur in Istanbul
sarc;Wenn man finster schauen will, sollte man die Augen richtig zusammenkneifen, dann sieht man voll schlecht. cc: @freakshow123
leave_fact;@xyzparty/@abccrew/@lmnclub/@qwertzfun/@hijgroup/@opqteam/@uvwxgang und alle checken nicht, dass die Leute in Deutschland frei wählen sollen.
opin;Es dreht sich darum, den amerikanischen Lifestyle als Satellit von Amerika umzusetzen.
construct;Gegen Merkel und ihre Crew gibt’s hier massig Zeug, da braucht man kaum was Spezielles zu suchen. @RandomUser123
construct;@xyzNews die nennen ne terroristische Gruppierung wie die PKK immer noch ne Arbeiterpartei, echt nicht zu fassen
construct;Und schon wieder sollen ein oder mehrere #Fremde (IS Fans) wohl über 60 Menschen getötet haben! Traurig, dass das scheinbar nie aufhört @abc_xyz
sarc;"die normale Person wirkt auf mich wie so ein ""halbwegs cooler"" Rebell"
opin;Besonders nervt mich, dass anscheinend die deutsche Politik denkt, mit Kohle läuft hier alles klar.
opin;@BlauRedner ey, da checkt Grün mal wieder echt nix von der Realität!
leave_fact;Oh Mann, du bist echt armselig. Immer austeilen, aber nix einstecken?! Hater sind nicht ernst zu nehmen und man denunziert sie nicht! Ab zum Klo!
leave_fact;Null Hirn. Ende der Durchsage.
opin;@Blitzmann ehrlich, wenn ich mir Höcke und die Gang anschaue, dann zeigt ein Abi oder Studium nicht automatisch, dass man gebildet ist.
leave_fact;@sonnenschein_91 Muslime sind oft abwertend gegenüber Juden +aggressiv+gewalttätig. Antisemitismus is da stärker. Frag mal Juden selber.
construct;wenn ihr über Aleppo redet ohne Belege, zählt das dann auch als Fake-News?
leave_fact;@User1234 @NewsDaily KEINER BELEIDIGT DEN TÜRKISCHEN PRÄSIDENTEN, IHR BELEIDIGT MIT EUCH DAMIT ALLE!
opin;@newsflash Didi kriegt null Respekt als Kabarettist! Er will auch keine Anzeige riskiern
opin;die CDU zum Beispiel is ne Partei, die Kriege unterstützt... Waffenlieferungen sind da nur n Stichwort... einfach unwählbar! @falscher_account
opin;Jetzt betreibt ihr schon Werbung für die Türkei, damit die euch weiter mit Flüchtlingen erpressen können. Echt peinlich für DE.
leave_fact;@urbanhip_123 Hipster-Paule chillt auf nem fahrenden AfD-Klo - meine Blase will jetzt echt leerlaufen. #wierdRightHipsterPeeing
sarc;@MaxMustermann @newsfeed Herr Maas, wann genau waren Sie zuletzt in der Türkei?
opin;...kritisch drauf sein. Und ich bin das auch. Aber kann man die Leute akzeptieren, die an ihn glauben.
construct;Die Frau hatte keine Burka an.
sarc;dazu nen Milchkaffee
opin;meine Reaktion auf dich @frosti99
construct;Genau so sieht's aus, oder würdet ihr die Linke ständig als Linkspopulisten bezeichnen?
leave_fact;Diese Hängeschnute gehört dringend ins Heim zur Therapie! Ihr Asylchaos kostet uns Milliarden!!! @randomuser123
construct;Kurden in der Türkei gehören zur Nation. Türkei führt Kampf gegen Terror in Syrien. @neuerAccount123
construct;Schaut euch mal die Türkei an. Das is der Islam. Guckt euch alle Länder mit mehrheitlich Muslimen an. Fakt bleibt Fakt.
opin;...ich wehr mich voll dagegen, Leute einfach in Schubladen zu stecken. @randomuser123
sarc;Das haut richtig rein … irgendwo zwischen Stuttgart & Saarbrücken. Hab selten so gelacht, ey. @funnydude123
opin;Astrozeugs trifft manchmal echt zu
other;hätt glaub ich mal gedacht, du gönnst dir endlich ein paar mehr *...
leave_fact;@fakespot Rechts? Lügenpresse! Ihr verpasst dem normalen Bürger das im Auftrag von der Merkelbande. Elendes Lügenvolk...
leave_fact;Weil 2016 gibt's immer noch voll viele Leute, die weder laktoseintolerant sind, noch auf Tierschutz so abfahren.
construct;@newsflash_de sichern andere Länder etwa ohne Waffen ihre Grenzen? Und der Vergleich mit der DDR stimmt nicht – da wollten die Leute ja raus.
opin;Das haben wir uns selbst erkämpft! Nur weil wir das gemacht haben, heißt das noch lange nicht, dass die Regierung Narrenfreiheit hat!
opin;Politik offener Grenzen, die von Anfang an zum Scheitern gemacht war, nur um irgendeinen Schuldkomplex abzubügeln @randomuser123
opin;Frau @andereraccount labbert von nem Deutschland, das nix zu tun hat mit den 14 Millionen Leuten und Ausländern, die in harter Armut stecken.
construct;Wenn man als Frau im islamischen Kulturkreis nicht dafür vergewaltigt wird, ist das für Europäerinnen eher ein Rückschritt als ein Fortschritt. @falschername123
other;Deutschland Mischlingskind!
other;@MaxMuellerXYZ @globalnews und unsere Kultur geht im Migrationschaos unter? Augstein, echt schlecht für Sie.
