label_1;label_2;label_3;label_4;text
sarc;sarc;sarc;sarc;@realvibes @CoolMaas Also müssen wir erstmal auf die zweite Blackbox warten, bis die AfD-Schnacker endlich checken, was in #Tröglitz abgeht?
construct;opin;opin;construct;@Max_Muller Jetzt: Unsere Schwierigkeiten sind SCHON HIER! Und da ändert sich GAR NICHTS! Der ständige Nachschub macht’s echt nicht leichter.
opin;construct;opin;opin;@user123 @newsflashxyz @daily_report @global_watch früher oder später geht auf türkischem boden nen krieg los, lässt sich nich aufhalten
opin;opin;opin;opin;. @LenaMeyer Wer Europa festigen will, darf das Griechenland-Thema nicht so lang schleifen lassen, bis es zur Überlebensfrage wird (1)
other;other;sarc;other;"@maxmiller @beauty.sight @newsflash Jo, aber es gibt auch israelische Araber. Die waren halt gemeint ;-)."
leave_fact;other;other;opin;@xyzauthor @frauexample seitdem unsere Politiker von Flüchtlingswellen, Asylmissbrauch & dem Weltsozialamt Deutschland labern #refugeeswelcome
leave_fact;leave_fact;leave_fact;construct;@LarsSchmidt @maxx_bue Wie lang wollt ihr uns eigentlich noch veralbern? Eure Meinung ändert sich doch eh ständig nach Lust und Laune. Echt schlimm.
opin;construct;opin;other;@BienenStich123 Haben wir doch klar, bzw. die Kapazitäten um die zu packen
opin;construct;opin;opin;@MaxMeyer @LisaSchmidt jeder weiß doch, dass Griechen ihre Schulden nich zahlen können. Die Frage is, ob Grexit ne langfristige Lösung für die EU is.
opin;opin;opin;opin;@MaxiSchulz Die Regierung müsste echt dafür sorgen, dass weniger Flüchtlinge kommen und die dann später in ihre Heimat zurückgehen.
sarc;opin;opin;opin;@CoolRebel Ich seh das anders, aber whatever. Dann is FB halt doch nich alternativlos. Weniger Grund zum Regulieren :) @MaxMustermann @AnnaMusterfrau
construct;leave_fact;opin;opin;@CoolUser123 @fruehstuecksnews nochmal: alter Wein in neuen Flaschen: NEUSPRECH bringt nix. SPD glaubt weiter, Wähler sind dumm und vergessen schnell.
other;other;other;other;@maxmueller B-Männ bleibt halt der Bad Boy Böhmermann
construct;construct;construct;construct;@newsflashcut Schuldenstreichung gibt's nur bei privaten westlichen Gläubigern. Warum sollte das also für Russland gelten?
opin;opin;opin;opin;@randomuser123 @newschannelxyz @politicoDE Flüchtlinge an sich sind NICHT DAS PROBLEM!!! Es geht um DIE ZAHL! Also: wie viele können wir aufnehmen? SAG ES ENDLICH!
other;leave_fact;leave_fact;other;@coolmaxx Die Griechen machen Party, bis alles auseinandergeht! Hey, willkommen willkommen in unserer total neuen Welt.
opin;other;opin;opin;@maxxpert007 @NEWSflashDE @LucaBerlin Ich hab nie gesagt, dass hier alles top läuft, aber die Türkei ist uns meilenweit voraus.
construct;leave_fact;opin;leave_fact;@x_trendz @moonlight123 europa is voll das fail projekt und erstmal muss die eu checken, dass sie ihre eigenen regeln respektiert
opin;opin;opin;opin;@KlausMeyer @newsflash @frau_schnell Mega guter Beitrag. Die Hälfte meiner (riesigen) griech. Family lebt in GR und bereut es schon lange>
opin;leave_fact;sarc;sarc;@LenaRedet @FrankScherz Was für ein Scherzkeks: Bartsch vertraut voll auf die russische Justiz und meint, dass der neueste Mord aufgeklärt wird.
leave_fact;leave_fact;leave_fact;opin;Der VDS-Kursschwund kam echt fix, Herr @MaxLenz... voll das Fähnchen im Wind der Macht. Echt peinlich!
sarc;sarc;sarc;sarc;@newsflash Kommt jetzt der russische Vollstrecker? Oder doch die grünen Typen?
other;other;other;sarc;@TechNews24 @GlobalTV Neeeee, klar nich! Is nur n gotcha, mit nem Stahlmantel abgefeuert, in so nem Ödland-Freizeitpark im Orient.
leave_fact;leave_fact;sarc;leave_fact;@newsflash_de @coolguy1968 TzTzTz und die Regierung lässt inzwischen über 13 Mio illegale Einwanderer rein!!! Hoch die Regierung!!
sarc;other;opin;opin;"@Zuckerschnute123 @zeitonline @KarlKlaus Vielleicht fragst Du mal #Orban wegen Asyl, Deutschlands Grenzen kann man nämlich nicht ""dicht"" machen. Fakt!"
construct;construct;construct;construct;@NewsFlash247 @GlobalReport Echtzeit-Aufklärungsmittel sind schon im Einsatz über Syrien/Irak, z.B. Thales Reco:
sarc;sarc;opin;opin;@TalkAgent #Minsk #Putin Heutztage gehn Länder + Leute nich mehr mit Waffen klar, sondern eher mit Herz = Zeitgeist
leave_fact;leave_fact;leave_fact;leave_fact;@MaxiToni ey, das is ja echt übel Herr Maas, schläfst du da überhaupt noch gut nachts?
opin;other;other;other;.@BlitzKlar Ach, wenn die Welt doch so simpel wär. Was sag ich meinem SPD-Kumpel, der bei sich Flüchtlinge aufgenommen hat, aber trotzdem Orban Recht gibt?
opin;leave_fact;construct;sarc;@wutbub @NEWSFLASH ...da hat G. Schröder doch aus ausländer/flüchtlinge/asylanten auch EINFACH nur gäste gemacht...wie rechts kann das bitte sein?!
other;other;other;other;@newsflash Wer kümmert sich darum? Haben die nen Sender Kirche erwähnt?? Wir haben 13 Mio illegale Einwanderer Verletzte:
other;other;other;other;@maxmiller +++ BREAKING +++ Böhmermann hört mit TV auf – jetzt freie Bahn für Olli Schulz im Radio-Morgenprogramm?
